pickup,dropoff
3,46
58,43
69,49
58,46
58,43
58,43
58,43
58,43
58,43
16,49
79,43
45,46
58,46
42,75
47,49
58,46
58,43
58,43
58,27
78,51
58,27
37,7
37,51
14,68
58,43
18,49
32,30
69,51
47,39
79,7
12,7
47,39
42,75
37,7
10,49
5,54
72,75
58,43
69,49
79,43
44,75
24,49
47,39
25,56
19,49
58,27
58,43
19,49
58,27
41,21
50,49
57,27
18,49
69,7
34,7
69,51
12,75
5,56
69,7
69,49
9,43
79,46
33,51
60,46
69,51
52,54
34,51
24,49
9,43
12,7
60,7
69,51
66,7
58,43
10,49
41,21
64,27
48,27
19,39
34,51
61,27
79,7
58,43
2,7
61,27
5,54
35,51
79,56
2,49
23,49
35,51
3,7
19,39
19,39
58,43
42,75
57,27
37,7
4,43
59,49
61,27
79,7
24,7
67,7
9,22
45,46
24,49
3,51
3,7
61,27
69,49
19,49
19,49
60,7
12,7
58,43
69,51
79,46
79,7
79,43
19,39
31,49
18,75
65,7
61,49
69,7
18,7
37,7
67,49
47,49
40,49
45,39
40,49
13,51
24,7
36,46
35,51
79,7
44,75
34,51
6,75
69,51
34,51
37,43
11,75
69,51
5,54
6,75
12,7
10,46
35,51
58,43
12,7
47,39
63,46
53,77
45,46
12,7
12,7
69,49
55,7
65,51
64,51
79,46
37,7
37,51
18,49
64,27
18,7
18,49
52,54
55,56
47,39
12,75
6,75
23,27
24,7
58,43
69,51
67,7
10,49
79,56
79,43
5,54
58,43
3,43
55,7
57,27
64,27
44,75
47,39
64,27
45,39
16,49
45,39
70,39
19,49
10,49
34,51
70,39
65,51
66,43
62,56
73,49
79,7
2,49
70,39
70,39
19,49
52,54
3,7
12,7
69,51
44,75
6,75
44,75
13,51
19,39
55,56
76,46
67,7
67,49
74,49
5,54
12,75
12,7
23,20
60,7
12,7
19,49
2,7
71,7
35,51
24,49
64,51
24,49
79,43
64,49
57,27
18,49
69,51
79,46
79,7
29,49
19,39
52,54
47,49
50,49
8,51
25,46
79,7
12,7
36,56
2,7
48,43
48,20
9,22
2,49
61,75
76,20
79,46
64,51
5,54
25,77
79,7
57,27
2,7
23,49
64,27
13,51
13,38
2,7
17,51
61,27
3,51
63,46
23,49
23,20
58,46
58,43
23,27
2,49
37,7
15,56
65,51
61,75
18,7
58,46
47,39
71,28
35,51
2,7
69,49
58,43
8,51
12,7
26,49
58,27
45,49
65,51
