x,y,type
301389,422458,depot
368422,389225,forest
237150,423350,forest
274006,345995,forest
275262,402503,forest
233945,404340,forest
336598,398875,forest
228432,402705,forest
215280,440260,forest
377700,423250,forest
237780,413070,forest
254650,408450,forest
233830,412935,forest
259150,409350,forest
331200,367200,forest
280380,411095,forest
300420,468789,sawmill
227745,425985,forest
329119,432364,sawmill
228782,401618,forest
370335,509560,forest
349500,422500,forest
234085,408635,forest
224050,443950,forest
331525,514445,forest
282168,415585,forest
361455,401135,forest
233150,446450,forest
255895,400615,forest
256350,433750,forest
253288,397320,forest
230450,419650,forest
258730,434490,forest
300405,421645,sawmill
263350,441350,forest
235447,335013,forest
269650,408350,forest
226982,407105,forest
233619,365925,sawmill
312013,414862,sawmill
255250,433050,forest
357560,523082,sawmill
376955,402500,forest
339360,392673,forest
337480,440577,sawmill
244150,424450,forest
308950,377050,forest
304350,390950,forest
233280,417250,forest
233607,365019,sawmill
364630,388075,forest
338290,475990,forest
255750,434950,forest
250500,358300,forest
235885,412155,forest
253485,409795,forest
237550,421450,forest
242350,407050,forest
433850,457638,sawmill
230785,368490,forest
255950,415750,forest
317500,514500,forest
364470,395685,forest
294150,343950,forest
233442,377693,sawmill
273550,437650,forest
267445,417395,forest
311928,414407,sawmill
248050,382550,forest
247935,452190,sawmill
432365,419270,sawmill
326855,386535,forest
325708,405392,forest
235965,401250,forest
298705,361730,sawmill
358950,391950,forest
339937,385625,forest
320101,434187,sawmill
273410,386810,forest
263650,436850,forest
285932,437990,sawmill
226050,422450,forest
254635,378348,sawmill
328530,387633,forest
234350,410050,forest
269675,276595,forest
286967,401910,sawmill
359890,408715,forest
331387,367648,forest
302610,393430,forest
308195,422358,sawmill
291506,364500,forest
230950,368818,sawmill
