pickup,dropoff
33,41
92,16
64,44
26,52
64,88
8,41
79,71
33,41
10,52
85,52
10,82
37,52
7,71
53,71
34,52
53,71
53,71
69,36
64,44
26,47
53,71
49,82
12,52
64,47
77,82
26,71
56,52
70,93
77,82
56,71
77,52
22,47
56,82
92,16
3,67
38,71
70,47
79,36
59,52
53,71
22,47
58,82
13,71
70,93
40,52
40,71
26,52
77,82
76,47
79,36
85,71
8,41
75,52
58,82
8,41
26,47
26,71
75,47
40,52
27,16
85,80
94,52
56,52
72,71
40,52
79,89
85,80
10,52
70,47
77,82
42,82
91,71
92,82
42,67
63,95
12,82
56,52
37,52
6,71
62,52
92,82
42,82
10,52
3,71
33,41
56,82
61,29
65,16
22,47
3,71
78,71
3,67
92,82
56,71
57,82
49,16
3,73
37,52
26,52
40,52
40,52
92,16
53,71
62,52
92,82
26,71
77,84
64,88
56,52
64,88
79,36
56,71
21,82
37,82
3,67
3,80
13,67
2,71
62,52
56,82
87,95
55,52
24,67
59,71
7,52
54,82
75,41
70,52
22,47
76,47
22,47
10,52
24,67
38,71
77,82
7,52
17,47
92,82
91,71
17,47
76,47
14,71
77,52
75,52
40,52
24,80
40,52
34,52
51,52
10,52
62,84
55,52
64,88
91,71
12,52
46,19
8,67
31,84
21,82
63,95
40,52
77,52
6,71
45,82
7,71
75,71
78,71
77,82
30,67
3,67
94,52
8,19
78,80
42,71
53,71
70,47
49,82
39,52
72,71
22,47
7,52
35,82
64,88
56,84
35,82
62,84
65,16
40,52
56,52
78,47
22,47
90,82
76,47
38,52
42,82
59,52
92,82
56,84
9,23
42,71
39,52
24,41
40,52
27,16
53,47
7,52
79,36
51,52
79,36
76,47
64,88
64,23
35,47
35,82
94,52
26,71
56,52
22,47
63,95
37,52
3,71
92,16
72,95
85,52
40,52
38,71
53,47
75,71
10,52
78,71
40,52
86,82
79,89
14,52
94,52
78,74
7,71
56,52
85,52
42,82
62,52
53,71
7,71
6,47
34,71
77,52
15,71
72,84
5,52
81,82
92,82
40,52
64,44
56,52
42,82
56,52
20,82
27,16
48,82
70,52
91,71
7,52
25,43
10,52
12,52
75,71
6,47
6,71
10,52
42,82
42,71
70,47
5,52
70,47
50,41
53,47
6,52
79,89
65,16
12,82
75,52
37,84
78,47
7,71
30,71
7,52
79,36
5,52
91,71
65,16
37,52
77,52
32,52
42,82
38,71
78,71
26,71
10,52
22,47
56,71
70,71
40,52
79,71
26,71
10,52
40,52
86,82
42,82
12,52
7,71
8,41
12,82
42,82
94,41
70,47
27,16
35,82
14,71
8,41
40,52
40,52
62,84
6,71
30,67
6,47
6,47
91,71
6,47
8,67
32,52
30,71
34,52
14,71
39,52
7,52
6,71
6,71
28,84
55,41
53,71
51,47
26,47
8,41
68,84
38,71
14,52
51,82
78,71
62,84
56,52
37,84
2,71
24,67
51,52
70,47
46,82
14,71
35,47
4,19
18,47
64,44
94,52
22,47
17,47
70,52
24,67
66,47
56,71
49,82
27,16
26,47
20,82
6,47
79,36
56,84
94,52
10,82
7,52
53,47
70,52
35,82
70,47
70,82
57,84
78,71
3,67
27,16
55,41
70,52
40,52
14,52
92,16
7,52
7,71
85,80
40,52
72,84
10,52
60,95
62,52
6,71
83,84
56,52
56,84
59,52
17,47
7,95
7,52
42,82
56,84
32,82
40,52
53,71
11,82
63,95
53,71
7,71
3,67
51,82
24,67
