pickup,dropoff
13,7
13,7
13,7
27,53
37,7
74,42
74,42
59,7
36,22
69,55
18,53
3,7
50,42
50,53
70,7
10,53
3,7
70,46
73,7
59,58
84,46
3,7
69,55
81,22
57,82
83,29
62,46
74,42
56,58
73,7
62,46
70,46
13,7
62,46
20,42
11,49
62,46
13,80
62,49
69,7
84,49
76,22
14,49
40,55
16,53
28,7
3,49
13,7
3,7
70,7
69,55
56,58
70,7
13,7
62,46
70,7
3,7
68,32
20,42
50,42
30,82
16,53
13,7
18,7
39,29
74,42
13,7
64,7
43,53
37,55
62,46
13,7
38,55
48,42
20,53
59,60
13,7
38,55
11,53
48,49
73,53
84,7
62,46
57,23
5,60
18,7
64,7
10,53
84,49
10,49
69,7
13,7
45,80
84,60
62,32
74,42
84,46
40,55
43,53
13,7
45,80
13,7
18,53
73,53
50,42
8,55
84,7
40,7
57,55
13,7
65,32
69,55
40,7
13,80
11,53
9,46
68,53
20,53
43,53
6,80
68,55
41,53
59,7
71,53
71,7
40,55
84,7
77,53
77,53
68,32
28,7
30,49
30,60
50,42
73,53
18,53
74,42
84,7
5,58
67,49
75,7
68,32
31,72
26,53
73,55
5,58
84,49
13,7
74,42
13,7
59,7
84,60
73,55
78,53
34,53
40,55
30,24
48,42
73,55
36,55
73,7
10,53
61,22
10,53
35,22
70,7
2,53
18,53
62,32
2,7
40,7
20,53
40,55
73,53
79,53
38,55
57,82
76,22
17,55
77,53
84,7
62,32
57,82
13,80
34,53
61,32
75,7
18,53
18,53
73,7
13,7
27,53
62,46
62,49
65,32
31,53
28,53
13,7
4,53
73,55
13,7
9,46
2,53
61,32
64,7
84,49
16,53
57,82
81,7
62,32
62,32
63,53
62,46
18,53
64,49
14,55
6,80
74,42
74,42
40,7
64,7
5,60
64,7
48,53
51,53
3,7
54,53
3,7
62,46
12,80
56,58
2,7
40,7
19,53
2,7
37,55
81,49
30,49
84,49
67,49
13,7
40,7
44,24
84,7
76,80
50,42
71,7
68,32
14,49
28,7
77,53
84,7
13,7
40,7
62,46
28,7
45,80
26,53
76,32
13,7
38,55
65,32
2,7
64,7
73,55
63,53
84,7
52,32
40,7
47,80
2,53
62,46
20,42
12,80
2,53
62,46
74,42
9,25
56,58
18,80
62,46
5,58
84,7
74,42
65,32
18,53
38,55
16,53
56,58
69,55
48,53
5,58
13,80
15,60
50,53
14,55
64,7
67,49
13,7
73,53
50,53
21,25
15,60
84,49
20,42
71,53
57,82
27,53
48,53
54,53
64,53
27,53
66,60
51,53
57,55
64,7
28,53
52,22
28,53
57,55
73,55
28,53
73,53
54,53
34,53
8,7
73,53
57,82
36,22
27,53
33,53
18,7
52,49
8,7
52,46
66,60
81,7
18,53
84,7
64,7
81,7
40,49
8,55
65,32
68,32
68,32
27,53
37,55
69,55
61,32
