x,y,type
301389,422458,depot
235965,401250,forest
269650,408350,forest
304465,393960,forest
255950,415750,forest
244150,424450,forest
233462,365355,sawmill
258730,434490,forest
304350,390950,forest
339360,392673,forest
254280,431400,forest
280625,412620,forest
230785,368490,forest
358950,391950,forest
295125,430915,forest
237780,413070,forest
309555,500075,forest
263350,441350,forest
367535,419755,forest
302610,393430,forest
284945,438504,forest
320101,434187,sawmill
432365,419270,sawmill
300405,421645,sawmill
354079,474447,sawmill
349500,422500,forest
255250,433050,forest
233830,412935,forest
308195,422358,sawmill
287225,400140,forest
308950,377050,forest
233442,377693,sawmill
277090,366340,forest
338290,475990,forest
216312,440203,forest
294150,343950,forest
259150,434650,forest
235335,416455,forest
264745,435580,forest
326855,386535,forest
236145,429575,forest
300420,468789,sawmill
379295,419890,forest
273835,413200,forest
248050,382550,forest
312013,414862,sawmill
255895,400615,forest
329865,398530,forest
311553,414516,sawmill
361455,401135,forest
239175,454170,forest
237150,423350,forest
286232,438535,sawmill
235885,412155,forest
337480,440577,sawmill
237061,375291,forest
317500,514500,forest
231069,368866,sawmill
233945,404340,forest
286967,401910,sawmill
259150,409350,forest
215280,440260,forest
266050,437050,forest
253288,397320,forest
224050,443950,forest
275262,402503,forest
237550,421450,forest
230450,419650,forest
253485,409795,forest
255750,434950,forest
256350,433750,forest
324420,425120,sawmill
233280,417250,forest
364470,395685,forest
220630,420600,forest
233150,446450,forest
370335,509560,forest
359890,408715,forest
234085,408635,forest
254635,378348,sawmill
226457,427498,forest
319865,532410,sawmill
227832,433083,forest
291506,364500,forest
